decimal,keyword,protocol
74,wsn,Wang Span Network
75,pvp,Packet Video Protocol
76,br-sat-mon,Backroom SATNET Monitoring
77,sun-nd,SUN ND PROTOCOL-Temporary
78,wb-mon,WIDEBAND Monitoring
79,wb-expak,WIDEBAND EXPAK
80,iso-ip,ISO Internet Protocol
81,vmtp,VMTP
82,secure-vmtp,SECURE-VMTP
83,vines,VINES
84,ttp,Transaction Transport Protocol
85,nsfnet-igp,NSFNET-IGP
86,dgp,Dissimilar Gateway Protocol
87,tcf,TCF
88,eigrp,EIGRP
89,ospfigp,OSPFIGP
90,sprite-rpc,Sprite RPC Protocol
91,larp,Locus Address Resolution Protocol
92,mtp,Multicast Transport Protocol
93,ax.25,AX.25 Frames
94,ipip,IP-within-IP Encapsulation Protocol
95,micp,Mobile Internetworking Control Pro.
96,scc-sp,Semaphore Communications Sec. Pro.
97,etherip,Ethernet-within-IP Encapsulation
98,encap,Encapsulation Header
99,99/ip,any private encryption scheme
100,gmtp,GMTP
101,ifmp,Ipsilon Flow Management Protocol
102,pnni,PNNI over IP
103,pim,Protocol Independent Multicast
104,aris,ARIS
105,scps,SCPS
106,qnx,QNX
107,a/n,Active Networks
108,ipcomp,IP Payload Compression Protocol
109,snp,Sitara Networks Protocol
110,compaq-peer,Compaq Peer Protocol
111,ipx-in-ip,IPX in IP
112,vrrp,Virtual Router Redundancy Protocol
113,pgm,PGM Reliable Transport Protocol
114,114/ip,any 0-hop protocol
115,l2tp,Layer Two Tunneling Protocol
116,ddx,D-II Data Exchange (DDX)
117,iatp,Interactive Agent Transfer Protocol
118,stp,Schedule Transfer Protocol
119,srp,SpectraLink Radio Protocol
120,uti,UTI
121,smp,Simple Message Protocol
122,sm,Simple Multicast Protocol
123,ptp,Performance Transparency Protocol
124,isis,isis
125,fire,fire
126,crtp,Combat Radio Transport Protocol
127,crudp,Combat Radio User Datagram
128,sscopmce,sscopmce
129,iplt,iplt
130,sps,Secure Packet Shield
131,pipe,Private IP Encapsulation within IP
132,sctp,Stream Control Transmission Protocol
133,fc,Fibre Channel
134,rsvp-e2e-ignore,rsvp-e2e-ignore
135,mobility,mobility
136,udplite,udplite
137,mpls-in-ip,mpls-in-ip
138,manet,MANET Protocols
139,hip,Host Identity Protocol
140,shim6,Shim6 Protocol
141,wesp,Wrapped Encapsulating Security Payload
142,rohc,Robust Header Compression
253,253/ip,Use for experimentation and testing
254,254/ip,Use for experimentation and testing
255,reserved,reserved
143,143/ip,Unassigned
144,144/ip,Unassigned
145,145/ip,Unassigned
146,146/ip,Unassigned
147,147/ip,Unassigned
148,148/ip,Unassigned
149,149/ip,Unassigned
150,150/ip,Unassigned
151,151/ip,Unassigned
152,152/ip,Unassigned
153,153/ip,Unassigned
154,154/ip,Unassigned
155,155/ip,Unassigned
156,156/ip,Unassigned
157,157/ip,Unassigned
158,158/ip,Unassigned
159,159/ip,Unassigned
160,160/ip,Unassigned
161,161/ip,Unassigned
162,162/ip,Unassigned
163,163/ip,Unassigned
164,164/ip,Unassigned
165,165/ip,Unassigned
166,166/ip,Unassigned
167,167/ip,Unassigned
168,168/ip,Unassigned
169,169/ip,Unassigned
170,170/ip,Unassigned
171,171/ip,Unassigned
172,172/ip,Unassigned
173,173/ip,Unassigned
174,174/ip,Unassigned
175,175/ip,Unassigned
176,176/ip,Unassigned
177,177/ip,Unassigned
178,178/ip,Unassigned
179,179/ip,Unassigned
180,180/ip,Unassigned
181,181/ip,Unassigned
182,182/ip,Unassigned
183,183/ip,Unassigned
184,184/ip,Unassigned
185,185/ip,Unassigned
186,186/ip,Unassigned
187,187/ip,Unassigned
188,188/ip,Unassigned
189,189/ip,Unassigned
190,190/ip,Unassigned
191,191/ip,Unassigned
192,192/ip,Unassigned
193,193/ip,Unassigned
194,194/ip,Unassigned
195,195/ip,Unassigned
196,196/ip,Unassigned
197,197/ip,Unassigned
198,198/ip,Unassigned
199,199/ip,Unassigned
200,200/ip,Unassigned
201,201/ip,Unassigned
202,202/ip,Unassigned
203,203/ip,Unassigned
204,204/ip,Unassigned
205,205/ip,Unassigned
206,206/ip,Unassigned
207,207/ip,Unassigned
208,208/ip,Unassigned
209,209/ip,Unassigned
210,210/ip,Unassigned
211,211/ip,Unassigned
212,212/ip,Unassigned
213,213/ip,Unassigned
214,214/ip,Unassigned
215,215/ip,Unassigned
216,216/ip,Unassigned
217,217/ip,Unassigned
218,218/ip,Unassigned
219,219/ip,Unassigned
220,220/ip,Unassigned
221,221/ip,Unassigned
222,222/ip,Unassigned
223,223/ip,Unassigned
224,224/ip,Unassigned
225,225/ip,Unassigned
226,226/ip,Unassigned
227,227/ip,Unassigned
228,228/ip,Unassigned
229,229/ip,Unassigned
230,230/ip,Unassigned
231,231/ip,Unassigned
232,232/ip,Unassigned
233,233/ip,Unassigned
234,234/ip,Unassigned
235,235/ip,Unassigned
236,236/ip,Unassigned
237,237/ip,Unassigned
238,238/ip,Unassigned
239,239/ip,Unassigned
240,240/ip,Unassigned
241,241/ip,Unassigned
242,242/ip,Unassigned
243,243/ip,Unassigned
244,244/ip,Unassigned
245,245/ip,Unassigned
246,246/ip,Unassigned
247,247/ip,Unassigned
248,248/ip,Unassigned
249,249/ip,Unassigned
250,250/ip,Unassigned
251,251/ip,Unassigned
252,252/ip,Unassigned
